Wavelength (nm),Reflectance POS 0 (%R),Reflectance POS 1 (%R),Reflectance POS 2 (%R),Reflectance POS 3 (%R),Reflectance POS 4 (%R),Reflectance POS 5 (%R),Reflectance POS 6 (%R),Reflectance POS 7 (%R),Reflectance POS 8 (%R),Reflectance POS 9 (%R),Reflectance POS 10 (%R),Reflectance POS 11 (%R),Reflectance POS 12 (%R),Reflectance POS 13 (%R),Reflectance POS 14 (%R),Reflectance POS 15 (%R),Reflectance POS 16 (%R),Reflectance POS 17 (%R),Reflectance POS 18 (%R),Reflectance POS 19 (%R),Reflectance POS 20 (%R),Reflectance POS 21 (%R),Reflectance POS 22 (%R),Reflectance POS 23 (%R),Reflectance POS 24 (%R),Reflectance POS 25 (%R),Reflectance POS 26 (%R),Reflectance POS 27 (%R),Reflectance POS 28 (%R),Reflectance POS 29 (%R),Reflectance POS 30 (%R),Reflectance POS 31 (%R),Reflectance POS 32 (%R),Reflectance POS 33 (%R),Reflectance POS 34 (%R),Reflectance POS 35 (%R)
1000.007813,77.41297913,79.99378204,82.04289246,81.47822571,80.40617371,82.66983032,79.58475494,80.26011658,78.00930023,79.84059906,78.52693939,78.9864502,71.70446014,74.89943695,74.40602875,73.72795868,74.69247437,76.35675049,78.68453217,80.43710327,82.80282593,82.00430298,83.47475433,82.81637573,82.67441559,83.80163574,83.9407959,81.39287567,81.05867767,81.9786377,80.47608948,85.17762756,82.96156311,84.21524048,84.76087189,81.01727295
999.0013428,79.58537292,81.06327057,81.45098114,80.76502228,81.33340454,81.027565,78.99318695,80.19940948,80.41975403,79.86535645,80.52058411,79.92386627,71.4781723,71.51348114,74.10151672,72.18903351,75.82740021,77.50784302,78.85762787,80.75939178,81.30742645,82.28886414,82.68694305,82.81010437,81.83352661,83.63401031,84.85545349,83.45768738,81.42923737,80.8481369,83.57894897,84.85800934,85.03013611,82.00189209,84.89608765,82.07669067
997.9943237,80.27324677,79.92715454,81.13677979,81.58224487,81.78102875,81.567276,79.14089203,80.23812103,80.5269165,79.30996704,80.38282013,79.41175079,70.99016571,72.92817688,73.53874207,74.10434723,73.91640472,76.18841553,80.93870544,81.87394714,83.43684387,82.78700256,84.29515076,82.94554138,80.16665649,81.39570618,84.07460022,84.18196106,83.4599762,82.41820526,82.79689789,83.12371063,84.12260437,84.70690155,83.46305847,82.73416138
996.9866943,80.37273407,79.53487396,79.51108551,80.45181274,79.39047241,79.22585297,77.81111908,79.01983643,79.59507751,79.07160187,79.05691528,78.83004761,70.72557068,74.11791992,72.57896423,72.46509552,74.95552063,76.91485596,78.4289093,81.75331116,79.79896545,81.58692932,81.82770538,82.66044617,81.41148376,81.62858582,83.08913422,82.27776337,81.16662598,81.05078888,82.09384918,80.92932892,84.12747955,83.13230133,84.12548065,83.54211426
996.0100098,78.49913025,80.79580688,81.39535522,79.16514587,80.5306015,79.6675415,77.67359924,79.62192535,77.9079895,79.65837097,80.3817749,77.5402298,70.46696472,74.09793854,72.904953,71.69252014,73.80770111,76.6623764,79.27416229,80.6545639,79.87819672,83.81207275,82.14367676,80.4416275,82.18997192,82.07685852,83.64258575,81.84049225,81.38479614,81.38575745,80.70024872,81.90100098,83.07723999,81.59540558,83.0329895,81.07073212
995.0011597,78.915802,79.68495941,80.4271698,80.29460144,78.98873901,79.80983734,78.87212372,77.85096741,78.50892639,79.9004364,78.73645782,79.72293854,70.5773468,73.32985687,72.11530304,74.08068848,73.25086212,75.71243286,79.61362457,79.7167511,81.06936646,82.30478668,81.94522858,81.50228882,82.26189423,81.14228058,83.42458344,82.61749268,82.15377045,81.28713226,81.51555634,83.37637329,82.37911224,80.84236145,82.59725952,81.49245453
993.9916992,78.87063599,80.04441833,81.09754944,81.33028412,80.53238678,80.35219574,78.43962097,79.02342987,79.02947235,78.90422058,79.4107666,79.14512634,71.02527618,72.70939636,72.55727386,73.33804321,74.5723877,75.17614746,78.49858093,80.36038208,81.26010132,82.63308716,82.23259735,82.37769318,82.29957581,81.85433197,83.77552795,82.11764526,81.69549561,82.02017975,82.63405609,82.66299438,83.31039429,82.56131744,83.00680542,82.23573303
993.0131836,79.36223602,80.24277496,80.43412781,80.19538879,80.82457733,80.49781036,78.31865692,78.75535583,78.66009521,79.20384216,79.08249664,79.2427063,70.27255249,74.05751801,72.52129364,73.61348724,73.82284546,75.99488831,78.39230347,80.10162354,80.73259735,83.03192902,82.81177521,81.67047119,81.25881195,81.86864471,83.79136658,82.65263367,81.89544678,81.71083069,81.68610382,83.26155853,82.81916046,82.61543274,82.85458374,82.02991486
992.0024414,79.82012939,80.3615799,81.67723846,79.79788971,80.62911987,80.83128357,79.45195007,78.90457153,78.90375519,78.78637695,79.74996948,79.24433899,71.23790741,73.43040466,73.44646454,74.05814362,73.74394226,75.95172119,78.94605255,80.58113861,81.20214844,83.18429565,83.10603333,81.27396393,81.87769318,82.72921753,84.33681488,82.91534424,81.83068848,82.01851654,81.77011871,84.13459015,83.15963745,82.98930359,83.57910919,81.81157684
990.991272,79.35835266,80.59194946,82.37393951,79.36022949,80.16217041,79.86197662,77.67341614,78.78053284,77.56909943,78.19076538,78.43766022,77.79800415,70.70278931,73.06398773,72.18334961,73.90672302,73.03343964,75.70897675,78.42410278,78.9146347,80.47141266,82.57135773,81.48889923,80.65003204,82.30916595,80.76811218,83.07421112,82.65875244,80.24774933,81.3028717,80.60804749,82.23911285,83.39864349,81.79971313,83.58237457,81.40208435
990.0109863,78.80197906,79.54084778,80.63397217,79.78650665,78.80608368,80.36601257,77.87010956,79.39672852,76.85385895,77.77413177,78.79051208,78.43547058,70.08436584,71.2326889,72.26836395,72.46528625,76.00128937,74.66737366,78.28781891,79.09932709,80.73834991,83.43822479,82.16698456,80.48608398,79.62426758,82.61519623,82.52194977,81.46775818,81.88812256,80.83314514,81.99085236,82.3796463,81.68769836,80.84104919,82.83781433,80.39923859
988.9983521,80.23261261,81.41033936,81.079216,81.07870483,81.35063171,81.40093231,78.76490784,80.03582001,79.33261871,79.72342682,80.09538269,78.71761322,70.45667267,74.82150269,72.57979584,73.42062378,75.53349304,76.5152359,79.66400909,80.92216492,80.34007263,83.33082581,83.49304199,81.84024811,83.03395844,82.27433014,85.11196136,85.20620728,81.07974243,80.15729523,83.40964508,83.28879547,82.04391479,81.4365921,82.72490692,82.20000458
987.9853516,80.20042419,80.82953644,81.98193359,83.24406433,80.86437988,82.71575928,77.9420166,81.84166718,80.57355499,79.3155899,79.93961334,80.15342712,71.18466187,73.58624268,73.92047119,73.24239349,74.43684387,75.98149872,81.5206604,81.86886597,83.55071259,85.18327332,83.577034,83.52669525,82.13719177,83.40078735,85.17408752,84.10907745,83.73324585,80.90549469,83.31907654,86.14564514,85.75771332,84.94168091,83.42007446,83.92113495
987.003418,78.74887085,80.6359024,81.06535339,81.68243408,82.51403046,81.3131485,80.44366455,79.46685791,79.20426941,81.2207489,78.95814514,79.37858582,71.55693817,72.62142944,73.02561951,74.07888031,74.10084534,76.43199158,79.07944489,80.70606995,83.14247131,84.15367889,80.91859436,82.68049622,80.84458923,83.61820221,85.03269196,82.24850464,82.21450043,81.54454803,80.55171204,83.42597198,82.22141266,83.86251068,83.55872345,83.04805756
985.9891357,80.53940582,81.3345871,81.62854004,81.79303741,81.49090576,82.09825897,78.65213776,80.60777283,79.80565643,81.12031555,82.13320923,80.62893677,71.79190826,72.42089844,73.57606506,73.86334229,75.56859589,77.97622681,79.65180969,82.87535095,81.30734253,83.11437988,83.55316162,83.04406738,83.40483856,84.34469604,82.99167633,82.52616882,82.90392303,82.50014496,83.65261078,85.04512787,83.25798798,83.22505188,82.8655014,82.95281219
985.0059204,75.79771423,79.53780365,80.18082428,79.32010651,80.08918762,80.92884064,75.04853058,77.4616394,76.24237823,78.34051514,78.61103058,78.12113953,69.73560333,72.70617676,71.74488068,71.49362183,72.89605713,73.61360168,76.9851532,78.87097931,78.66941833,81.59949493,80.55469513,79.31495667,80.34483337,80.79273987,82.81706238,81.03230286,79.54925537,79.97046661,79.15578461,82.82646942,81.28457642,80.4121933,82.68255615,80.2851181
983.9903564,81.80781555,83.01528168,84.93244934,82.98223877,82.02120972,84.1839447,79.55921936,81.5954361,81.53364563,81.08313751,81.10596466,80.60850525,73.29623413,76.38696289,75.4253006,75.39514923,72.8441925,78.47345734,81.85967255,82.7809906,82.83424377,84.21378326,84.60051727,83.26893616,83.44245148,84.90577698,87.13385773,84.12869263,82.64953613,81.88301086,83.66488647,85.48710632,83.8704834,84.26849365,84.48381042,84.28054047
983.0059814,80.1581955,82.22686005,80.80028534,82.18411255,81.24382782,80.08416748,78.76920319,79.84528351,79.86647797,80.00989532,79.16671753,80.2359848,70.57271576,74.82991791,73.70960999,73.99416351,73.20301056,77.10479736,79.54159546,80.41873932,82.06970215,82.69010925,83.9709549,82.86876678,81.60749817,83.35923767,84.49682617,83.21011353,82.20664978,82.6279068,82.65609741,84.63301849,84.87284851,82.63973236,83.89997101,82.07884216
981.9893799,78.16659546,80.19705963,80.94566345,80.14625549,80.42592621,79.51888275,77.9022522,79.04671478,77.82180023,79.2616272,79.0691452,77.72557831,72.19463348,72.16342926,73.31889343,73.75011444,72.82991028,76.5967865,79.53443909,81.42875671,81.36389923,83.00871277,82.37686157,81.04489899,81.91853333,82.01435089,84.38220215,82.34183502,81.27391052,81.88090515,80.43453217,83.58306122,82.88635254,82.59741974,83.81744385,81.6055603
981.0039063,78.82072449,80.90153503,81.03112793,79.89125824,80.57557678,81.13445282,78.82601929,78.62191772,78.33553314,79.39573669,79.51920319,79.31002808,70.70066071,74.11845398,74.22431946,71.99543762,73.76781464,76.02194977,79.23809052,80.77196503,81.33914948,82.10993958,82.51062775,83.13746643,82.16306305,82.97142029,83.4972229,82.75415039,81.29421234,81.75691223,81.87221527,83.52344513,82.883461,82.63427734,82.27886963,81.36600494
979.9860229,79.97745514,80.44104767,81.69112396,81.38933563,81.31249237,81.2338562,79.56258392,80.108284,79.2948761,81.10926056,80.08514404,79.68868256,71.16043091,74.15220642,73.33634186,73.60668945,74.36550903,76.1911087,79.85611725,80.47119904,81.51824188,83.69284821,83.64257813,82.17766571,83.18856049,82.33219147,84.29518127,82.90433502,82.34244537,82.42147827,82.18070984,84.32427979,84.2084198,82.62550354,84.13613129,82.91931152
