Wavelength (nm),Reflectance POS 171 (%R),Reflectance POS 229 (%R),Reflectance POS 287 (%R),Reflectance POS 345 (%R),Reflectance POS 403 (%R),Reflectance POS 1040 (%R),Reflectance POS 1097 (%R),Reflectance POS 1154 (%R),Reflectance POS 1211 (%R),Reflectance POS 1268 (%R),Reflectance POS 1373 (%R),Reflectance POS 1314 (%R),Reflectance POS 1255 (%R),Reflectance POS 1196 (%R),Reflectance POS 1137 (%R),Reflectance POS 728 (%R),Reflectance POS 670 (%R),Reflectance POS 612 (%R),Reflectance POS 554 (%R),Reflectance POS 496 (%R),Reflectance POS 1244 (%R),Reflectance POS 1186 (%R),Reflectance POS 1128 (%R),Reflectance POS 1070 (%R),Reflectance POS 1012 (%R),Reflectance POS 607 (%R),Reflectance POS 548 (%R),Reflectance POS 489 (%R),Reflectance POS 430 (%R),Reflectance POS 371 (%R),Reflectance POS 196 (%R),Reflectance POS 197 (%R),Reflectance POS 198 (%R),Reflectance POS 199 (%R),Reflectance POS 200 (%R),Reflectance POS 184 (%R),Reflectance POS 241 (%R),Reflectance POS 298 (%R),Reflectance POS 355 (%R),Reflectance POS 412 (%R),Reflectance POS 873 (%R),Reflectance POS 931 (%R),Reflectance POS 989 (%R),Reflectance POS 1047 (%R),Reflectance POS 1105 (%R),Reflectance POS 889 (%R),Reflectance POS 1003 (%R),Reflectance POS 684 (%R),Reflectance POS 799 (%R),Reflectance POS 1033 (%R)
999.992981,75.31075287,76.69760895,77.19117737,76.44514465,77.14304352,83.81842041,84.63056183,84.28721619,85.11946106,83.66664886,83.93531036,84.73432922,83.54433441,83.03036499,83.52399445,81.49371338,82.02906799,81.13389587,82.64737701,82.78681946,82.83809662,82.68173981,83.70694733,81.86064148,82.45412445,80.57445526,81.31158447,80.61982727,81.37428284,81.73912811,73.40703583,72.1475296,73.35644531,72.94346619,72.42343903,6.518871307,6.445720673,7.549275398,6.912047386,6.102246284,76.83747101,77.82965088,76.42466736,76.65984344,78.09841156,79.92320251,80.19477844,84.92132568,84.53923798,83.17967987
998.9864502,75.06279755,76.39148712,76.51481628,75.15536499,76.04148102,84.13807678,84.19999695,84.43836975,83.54556274,83.03118896,83.10430908,82.8614502,83.71522522,82.76561737,82.23605347,80.04066467,81.43513489,81.67979431,80.22874451,80.63838196,81.88802338,82.15170288,82.39546204,81.441185,81.85780334,81.35919189,79.39522552,80.23693085,81.31958008,81.14740753,73.1205368,72.94642639,72.08226776,71.7290802,71.64335632,6.833181381,7.78241539,6.073526859,6.357394695,7.100132942,76.50658417,75.38181305,76.29265594,75.97286987,76.62717438,79.99684143,80.14542389,85.14822388,85.45950317,82.57700348
998.0106812,75.94020081,77.20542908,76.87623596,76.84449768,76.59262848,83.83457947,84.82991791,85.16834259,83.89848328,83.94458008,83.76374054,83.52229309,84.87121582,82.94979095,83.09001923,80.2591095,82.29845428,80.90143585,82.07048798,81.76691437,82.85237122,83.19042206,82.54817963,82.02149963,82.2325592,80.11705017,80.6966629,80.8864212,81.14208221,81.46844482,73.82093811,72.65960693,72.91381073,72.39579773,71.99350739,7.433423996,6.737587452,6.61393261,6.636669636,6.750273705,75.99568176,75.97987366,76.13690948,76.47583771,78.15040588,81.05049133,80.90930939,85.29261017,85.70781708,83.38288116
997.0029907,75.83561707,77.39452362,77.01822662,76.09991455,77.09827423,84.45818329,85.84890747,84.60110474,84.25571442,84.30673218,83.70424652,83.83656311,83.07575989,84.70235443,83.5898056,80.65285492,81.87423706,81.76475525,80.532547,82.66549683,84.007164,82.90255737,83.38928223,82.0556488,82.02761078,80.52056122,81.26786041,81.2833786,82.12443542,80.71533966,71.87808228,72.5657196,72.74563599,72.6089859,71.39347076,6.740589619,7.704802036,6.554794312,7.519536495,7.530553818,75.82781219,76.43836975,76.60929871,77.11722565,77.54540253,80.58322906,80.89565277,85.41246796,84.48793793,83.27761078
995.9945068,75.42606354,76.52056885,77.03321838,77.17956543,77.00061798,84.51244354,85.21595764,85.21692657,83.00563812,83.58696747,83.59940338,83.66159821,83.87332916,84.67906952,84.18770599,80.64031982,82.30065918,81.40546417,81.28821564,82.66403198,82.84789276,82.62837982,82.66951752,81.53017426,83.13063812,81.79140472,81.02218628,81.00247955,81.37916565,82.0554657,72.15890503,73.18541718,73.71723938,72.57791901,71.75125122,7.074037075,7.511614799,6.020814419,7.077733994,6.287510872,76.36774445,76.48061371,76.56597137,77.97647095,78.15973663,81.19987488,81.42935181,85.40465546,85.29160309,83.75492096
994.9855957,75.52922821,76.65326691,77.39984894,76.24138641,77.14756775,84.67765808,84.83847809,84.90210724,84.22031403,83.81790161,83.69444275,83.11026001,83.59880829,83.31251526,82.82334137,80.44421387,82.08380127,81.83396912,80.89486694,81.47251892,83.00540161,83.3085556,82.7861557,81.60856628,82.35733032,81.08059692,81.04328156,80.74285126,81.67304993,80.96935272,72.51238251,73.45231628,72.88648987,72.13645935,71.47717285,6.377902508,7.22278738,7.026129723,6.261350155,6.123300076,76.08336639,76.30891418,76.24060059,76.32559204,77.44950104,80.3249588,80.84884644,85.05279541,84.11252594,84.05449677
994.0075073,76.11663055,76.66119385,77.49684143,76.74729919,77.19166565,84.84741211,85.41982269,85.5619812,84.72522736,84.10927582,83.02316284,84.39054871,83.7442627,83.80464172,83.12696075,80.16460419,81.64807129,81.70526886,81.5483017,81.85613251,83.42881012,83.11386871,83.00479126,82.35920715,82.23210144,81.10429382,81.09431458,80.95048523,81.74134064,81.54686737,72.63200378,73.08563995,72.9721756,72.08695984,72.14321136,6.666536808,7.036391735,7.016032219,6.183531284,6.338387489,76.72689056,77.00332642,76.17145538,77.73815155,78.38332367,81.19159698,81.62983704,84.87033081,85.44445038,83.97645569
992.9971924,75.78781128,76.67596436,76.84997559,76.41201019,77.04824829,84.61844635,85.2898407,85.03585815,83.81815338,83.91096497,83.02100372,83.65930176,83.74845123,84.12484741,83.37577057,80.77466583,81.75737,81.64605713,81.23227692,81.77191162,83.00605774,83.3476944,82.95764923,82.43377686,82.44724274,81.18623352,80.815979,80.66491699,81.20968628,81.27079773,72.35214996,72.51951599,72.84066772,72.31091309,71.91152954,7.002458096,7.072582245,6.868841648,6.4798913,6.789162159,76.29912567,76.66875458,76.63183594,76.85766602,77.55957794,80.82168579,81.50164032,85.03912354,84.84972382,83.88989258
991.9864502,75.85935974,76.84416199,77.15071869,76.80541229,76.82279205,84.23043823,84.99959564,84.77224731,84.59364319,83.75382996,83.61042786,83.64254761,83.55422211,84.19126129,82.83586121,80.1076355,81.77112579,81.39946747,81.39073181,81.43599701,83.29534149,83.3548584,83.07032013,82.65473938,82.55630493,81.00719452,80.77684784,81.38319397,81.41139221,81.35105896,72.80636597,72.32922363,73.31269836,72.67131805,71.97996521,6.834972858,7.099853516,6.365344524,6.306742668,6.273086548,76.53019714,77.00447845,76.46330261,77.02620697,77.70585632,80.91564941,80.91235352,85.89677429,84.97286224,83.82206726
991.0066528,76.08202362,76.69022369,77.34989166,77.45262909,77.43000031,84.7437973,86.45652008,86.17775726,84.75656128,84.66584778,84.51134491,84.75252533,84.16569519,84.73584747,83.92342377,81.05113983,83.15045166,81.63227844,81.82396698,83.09629822,82.99435425,83.54008484,84.12263489,83.0578537,83.26580048,81.18544769,81.08577728,81.60295105,81.61233521,81.53340912,72.84264374,72.3679657,73.93761444,73.03147125,72.41299438,6.749274731,7.021080017,6.533231735,6.368757725,6.496246815,77.25971985,76.96553802,76.70478058,77.84261322,77.47602081,81.34506226,81.46769714,85.33177948,86.38137817,84.47354126
